name,description
"Civil Rights History Discussion Group, SF","<p>In this group we'll dive deep into the many dimensions of the struggle for racial justice in twentieth-century America, and we'll have a helluva lot of fun while we do it! Over drinks, each month we'll discuss something fascinating from the spectrum of racial justice history - armed resistance; nonviolence; profound strategy; successes and failures; deep context; multiracial alliance building; nefarious tactics of divisiveness; histories of whiteness and structural and strategic racism; radical women and powerful youth; the profound legacy of LGBT figures in black and brown freedom struggles; grassroots mobilizations... This will be all about learning deeply about important issues, while having excellent conversations and building community. <br></p>
<p>...........</p>
<p>The Structure</p>
<p>- This will be about everyone's voice being present, as long as they wish it to be... about everyone being able to express their ideas, ask their questions, be fully heard, and engage in meaningful dialog. There will be a facilitator, but we should practice the good ol' step up/step back. <br></p>
<p>- The readings each month will be somewhere between 10 to 20 pages; so it will be very accessible to folks with busy lives.&nbsp; However, it will be deep.&nbsp; Please read the material if you plan on attending.&nbsp; If you start but don't quite make it through, no worries, please come! <br></p>
<p>- As you read, think of these three things: What parts of the story most interest you? Is there anything you feel confusion about or want more clarity around? Are their connections you can draw between the story and the present moment? Considering these three things as you read will ensure especially awesome conversations! <br></p>
<p>- If the struggle for racial justice is something you have deep knowledge about and feel absolutely comfortable talking about, bring your wisdom! If this subject is new to you and it feels super heavy and you feel a little uneasy talking about it but you know its important and you want to figure it out, this is the perfect place for you too!&nbsp; We'll help you build up your knowledge and develop your voice, and we'll have fun.&nbsp; Let's make this a space for helping one another along the path; wherever we are on the path. <br></p>
<br>"
Talk About It at yOUR Library,"<p>Your library is the place where we can talk about it. Let's explore social issues, literature, movies, comics, politics, food, sustainability, housing, humor, and government. We discuss issues and share experiences and thoughts in a respectful environment. Lifelong learners welcome!</p>"
Guiding Deserving but  Uninformed  Local Americans in career,"<p>We are going to help local Americans who want to do better in their life <br>Who deserve to make better living , to do better jobs , make better money, <br>who are struggling to make a good life in the most resourceful country called America.</p>
<p>Odd surprise is that they are struggling badly because of absence of system in place to help local people from here to make better choices in education and career.</p>
<p>United states have been the birth place ( incubator ) of latest technological innovations; information technology; and many inventions. <br>To continue its leading position, however it is dependent on human talent from outside countries. <br>The paradox is that this heavy dependence exists at the same time when there are many many local Americans ( youngsters &amp; mature individuals) <br>who are deserving but are not fully informed / Aware <br>who are bright but are directionless <br>in making right choices for education and career. What we will do : <br>We will guide them to take better decisions in education and professional life. More importantly, we are also goingt to network with large corporates and research organistions to create some special opportunities for our members and overall local americans. I have written articles and discussed with many colleagues, students &amp; parents. I have received unanimous support; strong endorsements and encouragement from people of senior director level to Analysts, <br>employees of Facebook, google <br>working class people to rich families, <br>church going parents to bar going adults; <br>religious aristocrats to people who believe in marijuana.</p>
<p>We will discuss the 8 reasons fro spreading the awareness : historical , cultural , economical, personal , psychological, financial, Capitalisitc, commercial. We will propose solutions and the methods to implement with right people. We will get the results.</p>"
RESULTS Contra Costa County,"<p>If you want to learn how to influence the U.S. Congress to support and fund policies and programs that are bringing an end to poverty around the world and in the U.S., join the Contra Costa County chapter of RESULTS.</p>
<p>RESULTS is a grassroots organization of passionate, committed, everyday people. We use our voices to influence political decisions that will bring an end to poverty. As volunteers, we receive training, support, and inspiration to become skilled advocates. We learn how to effectively influence policy makers, guiding them toward decisions that improve access to health, education, and economic opportunity. Together we realize the incredible power we possess to use our voice to change the world.</p>
<p><a class=""embedded"" href=""https://www.youtube.com/watch?v=m2X674DjySU"">https://www.youtube.com/watch?v=m2X674DjySU</a></p>"
Immigration Options for Researchers,"<p>This is a group for anyone interested in learning about EB-1 green cards, particularly Researchers, Professors, Executives, &amp; Entrepreneurs. We'll have a series of 4 to 5 meetings where we'll discuss the following fast-track green cards: EB-1A (Extraordinary Ability), EB-1B (Outstanding Researchers/Professors), and EB-2 NIW (National Interest Waiver). We'll also discuss the O-1 visa, which is a great alternative to an H-1B for researchers and other top performers.</p> 
<p>Do you have to have a Nobel Prize to qualify? (Spoiler...no, you don't.) How strong is your case? When, if at all, will international travel be limited during the green card process? Is the EB-1 Priority Date really backlogged for India and China?</p> 
<p>We'll go over all of this and more, and there will be lots of time for questions about specific circumstances. Come join the EB-1 fun!</p>"
The Magic Money Tree Project,"<p>What most people know about money is wrong and this is creating massive societal problems.&nbsp; The goal of the Magic Money Tree Project is to build grassroots literacy of political economics (how political and economic systems interact).&nbsp; We create, share, and disseminate educational tools and materials to build literacy on key societal issues.&nbsp; We work on a grassroots level to understand the issues real people face in their daily lives. We help build understanding of how political and economic systems work in ways that are relevant and understandable to them.</p>
<p>This project's goal is not to promote a specifically liberal or conservative agenda.&nbsp; Liberals and conservatives both contribute to society.&nbsp; We count them among our friends, family, members of the community, countrymen, and fellows in humanity.&nbsp; We can improve society by learning to understand people different from us because we all have shared interests and goals.</p>
<p>This project is also not directly concerned with party politics.&nbsp; However, understanding political economy opens up new possibilities for policy and political action.</p>"
Women's March Sacramento,"<p>We welcome women and their allies to build a strong community in the greater Sacramento region who stand for gender equity, social justice and equal rights for all.</p> 
<p>This meet up will focus on further engagement with the community and activities in the lead-up to the march, including discussion, sign-making parties, flyer posting parties and fundraising activities.</p> 
<p>In 2017 we marched and made our voices heard. This year we expand our work to engage youth, uplift women leaders, advocate for gender equity and stand together against voter suppression and for fair protection of all human rights.</p> 
<p>Visit Women's March Sacramento Website for more event details<br><a href=""https://womensmarchsac.com/"" class=""linkified"">https://womensmarchsac.com/</a></p>"
San Francisco Justice for All,"<p>Launch a Ballot Initiative to prohibit California from budgeting for the State's Public Defenders Offices. California jails have become a big business, discriminating against specific minority groups and economic classes. California's state and county governments consistently starve the Public Defender's Offices for funds so the Prosecutors Office can get the convictions and plea bargains they want. It's not fair for the defense to be controlled by the same boss as the prosecutor. If California refuses to pay for the Public Defenders Offices then the Federal Government will have no choice but to step in. Let's make it happen through a Ballot Initiative for a California Constitutional Amendment. More money and independent leadership for the state's Public Defenders Offices will be an important step towards the American promise of freedom and justice for all.</p>"
Queer Autistics Meetup,"<p>Queer &amp; Trans Autistics meetup in the works! This group centers qtpoc, people with multiple marginalities. Open to queer and trans Autistic people. We will meet up in an accessible sensory friendly location (tbd), and be in community space together. This group was collectively conceived out of activism and models of Disability Justice.</p> 
<p>More info including access info to come.</p>"
Santa Clara Social Justice Writers,"<p>I run a nationwide high school essay contest about homelessness, and I'm coordinating a collaborative book project inspired by some of the essay I've received. Proceeds from the sales of the book will be used to help fund future awareness projects or be donated to select homeless relief organizations.</p>
<p>Learn more about both projects at <a href=""http://www.homelessaware.org"">www.homelessaware.org</a>.</p>
<p>I'm interested in meeting collaborators for the book project.&nbsp;<span>We will critique one another's work, brainstorm topical ideas, and discuss other books, publishing, marketing, etc.</span></p>
<p> <br></p>
<p> <br></p>"
